No.,section,index_entry
382,Error Messages,error_at_line
383,Error Messages,errx
384,Executing a File,execl
385,Executing a File,execle
386,Executing a File,execlp
387,Executing a File,execv
388,Executing a File,execve
389,Executing a File,execvp
390,Normal Termination,exit
391,Exponents and Logarithms,exp
392,Exponents and Logarithms,exp10
393,Exponents and Logarithms,exp10f
394,Exponents and Logarithms,exp10fN
395,Exponents and Logarithms,exp10fNx
396,Exponents and Logarithms,exp10l
397,Exponents and Logarithms,exp2
398,Exponents and Logarithms,exp2f
399,Exponents and Logarithms,exp2fN
400,Exponents and Logarithms,exp2fNx
401,Exponents and Logarithms,exp2l
402,Exponents and Logarithms,expf
403,Exponents and Logarithms,expfN
404,Exponents and Logarithms,expfNx
405,Exponents and Logarithms,expl
406,Erasing Sensitive Data,explicit_bzero
407,Exponents and Logarithms,expm1
408,Exponents and Logarithms,expm1f
409,Exponents and Logarithms,expm1fN
410,Exponents and Logarithms,expm1fNx
411,Exponents and Logarithms,expm1l
412,Absolute Value,fabs
413,Absolute Value,fabsf
414,Absolute Value,fabsfN
415,Absolute Value,fabsfNx
416,Absolute Value,fabsl
417,Misc FP Arithmetic,fadd
418,Misc FP Arithmetic,faddl
419,Working Directory,fchdir
420,Setting Permissions,fchmod
421,File Owner,fchown
422,Closing Streams,fclose
423,Closing Streams,fcloseall
424,Control Operations,fcntl
425,System V Number Conversion,fcvt
426,System V Number Conversion,fcvt_r
427,Synchronizing I/O,fdatasync
428,Misc FP Arithmetic,fdim
429,Misc FP Arithmetic,fdimf
430,Misc FP Arithmetic,fdimfN
431,Misc FP Arithmetic,fdimfNx
432,Misc FP Arithmetic,fdiml
433,Misc FP Arithmetic,fdiv
434,Misc FP Arithmetic,fdivl
435,Descriptors and Streams,fdopen
436,Opening a Directory,fdopendir
437,Waiting for I/O,FD_CLR
438,Waiting for I/O,FD_ISSET
439,Waiting for I/O,FD_SET
440,Waiting for I/O,FD_ZERO
441,Status bit operations,feclearexcept
442,Control Functions,fedisableexcept
443,Control Functions,feenableexcept
444,Control Functions,fegetenv
445,Control Functions,fegetexcept
446,Status bit operations,fegetexceptflag
447,Control Functions,fegetmode
448,Rounding,fegetround
449,Control Functions,feholdexcept
450,EOF and Errors,feof
451,EOF and Errors,feof_unlocked
452,Status bit operations,feraiseexcept
453,EOF and Errors,ferror
454,EOF and Errors,ferror_unlocked
455,Control Functions,fesetenv
456,Status bit operations,fesetexcept
457,Status bit operations,fesetexceptflag
458,Control Functions,fesetmode
459,Rounding,fesetround
460,Status bit operations,fetestexcept
461,Status bit operations,fetestexceptflag
462,Control Functions,feupdateenv
463,Flushing Buffers,fflush
464,Flushing Buffers,fflush_unlocked
465,Character Input,fgetc
466,Character Input,fgetc_unlocked
467,Scanning All Groups,fgetgrent
468,Scanning All Groups,fgetgrent_r
469,Portable Positioning,fgetpos
470,Portable Positioning,fgetpos64
471,Scanning All Users,fgetpwent
472,Scanning All Users,fgetpwent_r
473,Line Input,fgets
474,Line Input,fgets_unlocked
475,Character Input,fgetwc
476,Character Input,fgetwc_unlocked
477,Line Input,fgetws
478,Line Input,fgetws_unlocked
479,Descriptors and Streams,fileno
480,Descriptors and Streams,fileno_unlocked
481,Floating Point Classes,finite
482,Floating Point Classes,finitef
483,Floating Point Classes,finitel
484,Streams and Threads,flockfile
485,Rounding Functions,floor
486,Rounding Functions,floorf
487,Rounding Functions,floorfN
488,Rounding Functions,floorfNx
489,Rounding Functions,floorl
490,Misc FP Arithmetic,fma
491,Misc FP Arithmetic,fMaddfN
492,Misc FP Arithmetic,fMaddfNx
493,Misc FP Arithmetic,fmaf
494,Misc FP Arithmetic,fmafN
495,Misc FP Arithmetic,fmafNx
496,Misc FP Arithmetic,fmal
497,Misc FP Arithmetic,fmax
498,Misc FP Arithmetic,fmaxf
499,Misc FP Arithmetic,fmaxfN
500,Misc FP Arithmetic,fmaxfNx
501,Misc FP Arithmetic,fmaxl
502,Misc FP Arithmetic,fmaxmag
503,Misc FP Arithmetic,fmaxmagf
504,Misc FP Arithmetic,fmaxmagfN
505,Misc FP Arithmetic,fmaxmagfNx
506,Misc FP Arithmetic,fmaxmagl
507,Misc FP Arithmetic,fMdivfN
508,Misc FP Arithmetic,fMdivfNx
509,String Streams,fmemopen
510,Misc FP Arithmetic,fmin
511,Misc FP Arithmetic,fminf
512,Misc FP Arithmetic,fminfN
513,Misc FP Arithmetic,fminfNx
514,Misc FP Arithmetic,fminl
515,Misc FP Arithmetic,fminmag
516,Misc FP Arithmetic,fminmagf
517,Misc FP Arithmetic,fminmagfN
518,Misc FP Arithmetic,fminmagfNx
519,Misc FP Arithmetic,fminmagl
520,Misc FP Arithmetic,fMmulfN
521,Misc FP Arithmetic,fMmulfNx
522,Remainder Functions,fmod
523,Remainder Functions,fmodf
524,Remainder Functions,fmodfN
525,Remainder Functions,fmodfNx
526,Remainder Functions,fmodl
527,Misc FP Arithmetic,fMsubfN
528,Misc FP Arithmetic,fMsubfNx
529,Printing Formatted Messages,fmtmsg
530,Misc FP Arithmetic,fmul
531,Misc FP Arithmetic,fmull
532,Misc FP Arithmetic,fMxaddfN
533,Misc FP Arithmetic,fMxaddfNx
534,Misc FP Arithmetic,fMxdivfN
535,Misc FP Arithmetic,fMxdivfNx
536,Misc FP Arithmetic,fMxmulfN
537,Misc FP Arithmetic,fMxmulfNx
538,Misc FP Arithmetic,fMxsubfN
539,Misc FP Arithmetic,fMxsubfNx
540,Wildcard Matching,fnmatch
541,Opening Streams,fopen
542,Opening Streams,fopen64
543,Streams and Cookies,fopencookie
544,Creating a Process,fork
545,Pseudo-Terminal Pairs,forkpty
546,Pathconf,fpathconf
547,Floating Point Classes,fpclassify
548,Formatted Output Functions,fprintf
549,Simple Output,fputc
550,Simple Output,fputc_unlocked
551,Simple Output,fputs
552,Simple Output,fputs_unlocked
553,Simple Output,fputwc
554,Simple Output,fputwc_unlocked
555,Simple Output,fputws
556,Simple Output,fputws_unlocked
557,Block Input/Output,fread
558,Block Input/Output,fread_unlocked
559,Freeing after Malloc,free
560,Opening Streams,freopen
561,Opening Streams,freopen64
562,Normalization Functions,frexp
563,Normalization Functions,frexpf
564,Normalization Functions,frexpfN
565,Normalization Functions,frexpfNx
566,Normalization Functions,frexpl
567,Rounding Functions,fromfp
568,Rounding Functions,fromfpf
569,Rounding Functions,fromfpfN
570,Rounding Functions,fromfpfNx
571,Rounding Functions,fromfpl
572,Rounding Functions,fromfpx
573,Rounding Functions,fromfpxf
574,Rounding Functions,fromfpxfN
575,Rounding Functions,fromfpxfNx
576,Rounding Functions,fromfpxl
577,Formatted Input Functions,fscanf
578,File Positioning,fseek
579,File Positioning,fseeko
